,movie name,movie genre,movie date,movie_runtime,movie director,Url
0,"Sonic the Hedgehog 2
(2022)","Action, Science Fiction, Comedy, Family, Adventure",04/08/2022,2h 2m,Josh Miller,https://www.themoviedb.org//movie/675353
1,"Uncharted
(2022)","Action, Adventure",02/18/2022,1h 56m,Ruben Fleischer,https://www.themoviedb.org//movie/335787
2,"Doctor Strange in the Multiverse of Madness
(2022)","Fantasy, Action, Adventure",05/06/2022,2h 6m,Steve Ditko,https://www.themoviedb.org//movie/453395
3,"The Bad Guys
(2022)","Animation, Comedy, Action, Family, Crime",04/22/2022,1h 40m,Pierre Perifel,https://www.themoviedb.org//movie/629542
4,"The Batman
(2022)","Crime, Mystery, Thriller",03/04/2022,2h 56m,Matt Reeves,https://www.themoviedb.org//movie/414906
5,"Spider-Man: No Way Home
(2021)","Action, Adventure, Science Fiction",12/17/2021,2h 28m,Steve Ditko,https://www.themoviedb.org//movie/634649
6,"The Contractor
(2022)","Action, Thriller",04/01/2022,1h 43m,Tarik Saleh,https://www.themoviedb.org//movie/628900
7,"Turning Red
(2022)","Animation, Family, Comedy, Fantasy",03/10/2022,1h 40m,Domee Shi,https://www.themoviedb.org//movie/508947
8,"Moonfall
(2022)","Science Fiction, Adventure, Action",02/04/2022,2h 10m,Roland Emmerich,https://www.themoviedb.org//movie/406759
9,"Doctor Strange
(2016)","Action, Adventure, Fantasy, Science Fiction",11/04/2016,1h 55m,Scott Derrickson,https://www.themoviedb.org//movie/284052
10,"Ambulance
(2022)","Action, Thriller, Crime",04/08/2022,2h 16m,Michael Bay,https://www.themoviedb.org//movie/763285
11,"Virus:32
(2022)",Horror,04/21/2022,1h 30m,Gustavo Hernández,https://www.themoviedb.org//movie/893370
12,"Fortress: Sniper's Eye
(2022)","Crime, Action",04/29/2022,1h 27m,Josh Sternfeld,https://www.themoviedb.org//movie/883502
13,"The Outfit
(2022)","Crime, Drama, Thriller",03/18/2022,1h 45m,Graham Moore,https://www.themoviedb.org//movie/799876
14,"365 Days: This Day
(2022)","Romance, Drama",04/27/2022,1h 51m,Tomasz Mandes,https://www.themoviedb.org//movie/829557
15,"The Lost City
(2022)","Action, Adventure, Comedy, Romance",03/25/2022,1h 52m,Adam Nee,https://www.themoviedb.org//movie/752623
16,"Encanto
(2021)","Animation, Comedy, Family, Fantasy",11/24/2021,1h 42m,Jared Bush,https://www.themoviedb.org//movie/568124
17,"Fantastic Beasts: The Secrets of Dumbledore
(2022)","Action, Adventure, Fantasy",04/08/2022,2h 22m,David Yates,https://www.themoviedb.org//movie/338953
18,"The Northman
(2022)","Action, Adventure, Drama, Fantasy",04/22/2022,2h 17m,Robert Eggers,https://www.themoviedb.org//movie/639933
19,"Silverton Siege
(2022)","Action, Crime, Drama",04/27/2022,1h 40m,"Mandlakayise Walter Dube, Jr.",https://www.themoviedb.org//movie/951470
20,"All the Old Knives
(2022)","Thriller, Action",04/08/2022,1h 42m,Olen Steinhauer,https://www.themoviedb.org//movie/294793
21,"Morbius
(2022)","Action, Science Fiction, Fantasy",04/01/2022,1h 44m,Roy Thomas,https://www.themoviedb.org//movie/526896
22,"Yaksha: Ruthless Operations
(2022)",Action,04/08/2022,2h 5m,Na Hyun,https://www.themoviedb.org//movie/606402
23,"The Grandmother
(2022)",Horror,01/28/2022,1h 40m,Paco Plaza,https://www.themoviedb.org//movie/661791
24,"The Ice Age Adventures of Buck Wild
(2022)","Animation, Comedy, Adventure, Family",01/28/2022,1h 22m,Jim Hecht,https://www.themoviedb.org//movie/774825
25,"My Hero Academia: World Heroes' Mission
(2021)","Animation, Action, Fantasy, Adventure",08/06/2021,1h 45m,Kohei Horikoshi,https://www.themoviedb.org//movie/768744
26,"Hotel Transylvania: Transformania
(2022)","Animation, Family, Fantasy, Comedy, Adventure",02/25/2022,1h 27m,Genndy Tartakovsky,https://www.themoviedb.org//movie/585083
27,"War of the Worlds: Annihilation
(2021)","Science Fiction, Action",12/22/2021,1h 53m,Maximilian Elfeldt,https://www.themoviedb.org//movie/919689
28,"¡Qué despadre!
(2022)","Comedy, Family, Romance",02/09/2022,1h 39m,Pedro Pablo Ibarra,https://www.themoviedb.org//movie/937337
29,"Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train
(2020)","Animation, Action, Adventure, Fantasy",08/13/2021,1h 57m,Haruo Sotozaki,https://www.themoviedb.org//movie/635302
30,"The Adam Project
(2022)","Action, Adventure, Comedy, Science Fiction",03/11/2022,1h 46m,Shawn Levy,https://www.themoviedb.org//movie/696806
31,"Pil's Adventures
(2021)","Adventure, Animation, Comedy, Family, Fantasy",08/11/2021,1h 29m,Julien Fournet,https://www.themoviedb.org//movie/676705
32,"Venom: Let There Be Carnage
(2021)","Science Fiction, Action, Adventure",10/01/2021,1h 37m,Kelly Marcel,https://www.themoviedb.org//movie/580489
33,"The Exorcism of God
(2022)",Horror,02/10/2022,1h 38m,Alejandro Hidalgo,https://www.themoviedb.org//movie/836225
34,"Blacklight
(2022)","Action, Thriller",02/10/2022,1h 44m,Mark Williams,https://www.themoviedb.org//movie/823625
35,"Along for the Ride
(2022)","Romance, Drama",05/06/2022,1h 46m,Sofia Alvarez,https://www.themoviedb.org//movie/778106
36,"Sing 2
(2021)","Animation, Comedy, Family, Music",12/22/2021,1h 50m,Garth Jennings,https://www.themoviedb.org//movie/438695
